trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN15940F235901:2021-03-09T18:51:45Z,15:25:00,15:26:00,StopPoint:OCEINTERCITES-87734251,2,,0,0,
OCESN15940F235901:2021-03-09T18:51:45Z,15:31:00,15:32:00,StopPoint:OCEINTERCITES-87734244,3,,0,0,
OCESN15940F235901:2021-03-09T18:51:45Z,15:45:00,15:46:00,StopPoint:OCEINTERCITES-87734202,4,,0,0,
OCESN15940F235901:2021-03-09T18:51:45Z,16:11:00,16:11:00,StopPoint:OCEINTERCITES-87734004,5,,1,0,
OCESN15940F236051:2021-02-24T15:20:15Z,14:29:00,14:29:00,StopPoint:OCEINTERCITES-87645507,0,,0,1,
OCESN15940F236051:2021-02-24T15:20:15Z,14:49:00,14:50:00,StopPoint:OCEINTERCITES-87734871,1,,0,0,
OCESN15940F236051:2021-02-24T15:20:15Z,15:09:00,15:10:00,StopPoint:OCEINTERCITES-87734251,2,,0,0,
OCESN15940F236051:2021-02-24T15:20:15Z,15:14:00,15:15:00,StopPoint:OCEINTERCITES-87734244,3,,0,0,
OCESN15940F236051:2021-02-24T15:20:15Z,15:29:00,15:30:00,StopPoint:OCEINTERCITES-87734202,4,,0,0,
OCESN15940F236051:2021-02-24T15:20:15Z,15:56:00,15:56:00,StopPoint:OCEINTERCITES-87734004,5,,1,0,
OCESN15941F234670:2021-02-24T15:20:15Z,12:41:00,12:41:00,StopPoint:OCEINTERCITES-87734004,0,,0,1,
OCESN15941F234670:2021-02-24T15:20:15Z,13:06:00,13:07:00,StopPoint:OCEINTERCITES-87734202,1,,0,0,
OCESN15941F234670:2021-02-24T15:20:15Z,13:21:00,13:22:00,StopPoint:OCEINTERCITES-87734244,2,,0,0,
OCESN15941F234670:2021-02-24T15:20:15Z,13:28:00,13:40:00,StopPoint:OCEINTERCITES-87734251,3,,0,0,
OCESN15941F234670:2021-02-24T15:20:15Z,13:58:00,13:59:00,StopPoint:OCEINTERCITES-87734871,4,,0,0,
OCESN15941F234670:2021-02-24T15:20:15Z,14:20:00,14:20:00,StopPoint:OCEINTERCITES-87645507,5,,1,0,
OCESN15941F239211:2021-03-09T18:51:45Z,13:06:00,13:06:00,StopPoint:OCEINTERCITES-87734004,0,,0,1,
OCESN15941F239211:2021-03-09T18:51:45Z,13:31:00,13:32:00,StopPoint:OCEINTERCITES-87734202,1,,0,0,
OCESN15941F239211:2021-03-09T18:51:45Z,13:46:00,13:47:00,StopPoint:OCEINTERCITES-87734244,2,,0,0,
OCESN15941F239211:2021-03-09T18:51:45Z,13:53:00,13:54:00,StopPoint:OCEINTERCITES-87734251,3,,0,0,
OCESN15941F239211:2021-03-09T18:51:45Z,14:13:00,14:14:00,StopPoint:OCEINTERCITES-87734871,4,,0,0,
OCESN15941F239211:2021-03-09T18:51:45Z,14:35:00,14:35:00,StopPoint:OCEINTERCITES-87645507,5,,1,0,
OCESN15942F231965:2021-03-09T18:51:45Z,09:35:00,09:35:00,StopPoint:OCEINTERCITES-87781005,0,,0,1,
