service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000074,0,0,0,0,0,0,0,20210309,20210608
000075,0,0,0,0,0,0,0,20210309,20210608
000076,0,0,0,0,0,0,0,20210309,20210608
000077,0,0,0,0,0,0,0,20210309,20210608
000078,0,0,0,0,0,0,0,20210309,20210608
000079,0,0,0,0,0,0,0,20210309,20210608
000080,0,0,0,0,0,0,0,20210309,20210608
000081,0,0,0,0,0,0,0,20210309,20210608
000082,0,0,0,0,0,0,0,20210309,20210608
000083,0,0,0,0,0,0,0,20210309,20210608
000084,0,0,0,0,0,0,0,20210309,20210608
000085,0,0,0,0,0,0,0,20210309,20210608
000086,0,0,0,0,0,0,0,20210309,20210608
000087,0,0,0,0,0,0,0,20210309,20210608
000088,0,0,0,0,0,0,0,20210309,20210608
000089,0,0,0,0,0,0,0,20210309,20210608
000090,0,0,0,0,0,0,0,20210309,20210608
000091,0,0,0,0,0,0,0,20210309,20210608
000092,0,0,0,0,0,0,0,20210309,20210608
000093,0,0,0,0,0,0,0,20210309,20210608
000094,0,0,0,0,0,0,0,20210309,20210608
000095,0,0,0,0,0,0,0,20210309,20210608
000096,0,0,0,0,0,0,0,20210309,20210608
000097,0,0,0,0,0,0,0,20210309,20210608
000098,0,0,0,0,0,0,0,20210309,20210608
000099,0,0,0,0,0,0,0,20210309,20210608
000100,0,0,0,0,0,0,0,20210309,20210608
000101,0,0,0,0,0,0,0,20210309,20210608
000102,0,0,0,0,0,0,0,20210309,20210608
000103,0,0,0,0,0,0,0,20210309,20210608
000104,0,0,0,0,0,0,0,20210309,20210608
000105,0,0,0,0,0,0,0,20210309,20210608
000106,0,0,0,0,0,0,0,20210309,20210608
000107,0,0,0,0,0,0,0,20210309,20210608
000108,0,0,0,0,0,0,0,20210309,20210608
000109,0,0,0,0,0,0,0,20210309,20210608
000110,0,0,0,0,0,0,0,20210309,20210608
000111,0,0,0,0,0,0,0,20210309,20210608
000112,0,0,0,0,0,0,0,20210309,20210608
000113,0,0,0,0,0,0,0,20210309,20210608
000114,0,0,0,0,0,0,0,20210309,20210608
000115,0,0,0,0,0,0,0,20210309,20210608
000116,0,0,0,0,0,0,0,20210309,20210608
000117,0,0,0,0,0,0,0,20210309,20210608
000118,0,0,0,0,0,0,0,20210309,20210608
000119,0,0,0,0,0,0,0,20210309,20210608
000120,0,0,0,0,0,0,0,20210309,20210608
000121,0,0,0,0,0,0,0,20210309,20210608
000122,0,0,0,0,0,0,0,20210309,20210608
000123,0,0,0,0,0,0,0,20210309,20210608
000124,0,0,0,0,0,0,0,20210309,20210608
000125,0,0,0,0,0,0,0,20210309,20210608
000126,0,0,0,0,0,0,0,20210309,20210608
000127,0,0,0,0,0,0,0,20210309,20210608
000128,0,0,0,0,0,0,0,20210309,20210608
000129,0,0,0,0,0,0,0,20210309,20210608
000130,0,0,0,0,0,0,0,20210309,20210608
000131,0,0,0,0,0,0,0,20210309,20210608
000132,0,0,0,0,0,0,0,20210309,20210608
000133,0,0,0,0,0,0,0,20210309,20210608
000134,0,0,0,0,0,0,0,20210309,20210608
000135,0,0,0,0,0,0,0,20210309,20210608
000136,0,0,0,0,0,0,0,20210309,20210608
000137,0,0,0,0,0,0,0,20210309,20210608
000138,0,0,0,0,0,0,0,20210309,20210608
000139,0,0,0,0,0,0,0,20210309,20210608
000140,0,0,0,0,0,0,0,20210309,20210608
000141,0,0,0,0,0,0,0,20210309,20210608
000142,0,0,0,0,0,0,0,20210309,20210608
000143,0,0,0,0,0,0,0,20210309,20210608
000144,0,0,0,0,0,0,0,20210309,20210608
000145,0,0,0,0,0,0,0,20210309,20210608
000146,0,0,0,0,0,0,0,20210309,20210608
000147,0,0,0,0,0,0,0,20210309,20210608
000148,0,0,0,0,0,0,0,20210309,20210608
000149,0,0,0,0,0,0,0,20210309,20210608
000150,0,0,0,0,0,0,0,20210309,20210608
000151,0,0,0,0,0,0,0,20210309,20210608
000152,0,0,0,0,0,0,0,20210309,20210608
000153,0,0,0,0,0,0,0,20210309,20210608
000154,0,0,0,0,0,0,0,20210309,20210608
000155,0,0,0,0,0,0,0,20210309,20210608
000156,0,0,0,0,0,0,0,20210309,20210608
000157,0,0,0,0,0,0,0,20210309,20210608
000158,0,0,0,0,0,0,0,20210309,20210608
000159,0,0,0,0,0,0,0,20210309,20210608
000160,0,0,0,0,0,0,0,20210309,20210608
000161,0,0,0,0,0,0,0,20210309,20210608
000162,0,0,0,0,0,0,0,20210309,20210608
000163,0,0,0,0,0,0,0,20210309,20210608
000164,0,0,0,0,0,0,0,20210309,20210608
000165,0,0,0,0,0,0,0,20210309,20210608
000166,0,0,0,0,0,0,0,20210309,20210608
000167,0,0,0,0,0,0,0,20210309,20210608
