route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000488,OCESN23436F276599:2021-03-09T18:51:45Z,23436,0,1503,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000487,OCESN23437F201814:2021-03-08T18:51:30Z,23437,1,1504,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000488,OCESN23437F248166:2021-03-06T18:51:50Z,23437,1,1505,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000504,OCESN23437F260711:2021-03-09T18:51:45Z,23437,1,1506,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000488,OCESN23438F246936:2021-03-01T18:51:13Z,23438,0,1507,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000490,OCESN23438F257920:2021-03-08T18:51:30Z,23438,0,1508,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000489,OCESN23438F270542:2021-03-08T18:51:30Z,23438,0,1509,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000510,OCESN23438F270921:2021-03-09T18:51:45Z,23438,0,1510,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000508,OCESN23438F272760:2021-03-09T18:51:45Z,23438,0,1511,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000488,OCESN23439F221207:2021-03-08T18:51:30Z,23439,1,1512,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000494,OCESN23439F257980:2021-03-09T18:51:45Z,23439,1,1513,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000508,OCESN23439F263781:2021-03-09T18:51:45Z,23439,1,1514,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000506,OCESN23439F267526:2021-03-08T18:51:30Z,23439,1,1515,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000517,OCESN23439F276771:2021-03-09T18:51:45Z,23439,1,1516,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000507,OCESN23440F246834:2021-03-09T18:51:45Z,23440,0,1517,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000503,OCESN23440F260312:2021-03-09T18:51:45Z,23440,0,1518,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000487,OCESN23441F220387:2021-03-09T18:51:45Z,23441,1,1519,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000488,OCESN23441F246832:2021-03-09T18:51:45Z,23441,1,1520,
OCESN-FR:Line::608A9B0B-6DF0-475B-82BA-E9792D7972A5:,000504,OCESN23441F276400:2021-03-09T18:51:45Z,23441,1,1521,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23456F275378:2021-03-09T18:51:45Z,23456,0,1522,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000301,OCESN23458F131485:2021-03-09T18:51:45Z,23458,0,1523,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000518,OCESN23458F276650:2021-03-09T18:51:45Z,23458,0,1524,
