ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_8;2016-06;Transilien;K;Paris Nord Crépy;89.4;8.4
TRA_9;2016-06;Transilien;L;Paris Saint-Lazare Sud;88.3;7.5
TRA_5;2016-07;RER;E;RER E;89.9;8.9
TRA_6;2016-07;Transilien;H;Paris Nord Ouest;91.8;11.2
TRA_12;2016-07;Transilien;R;Paris Sud Est;86.7;6.5
TRA_3;2016-09;RER;C;RER C;88.6;7.8
TRA_5;2016-09;RER;E;RER E;94.4;16.9
TRA_6;2016-09;Transilien;H;Paris Nord Ouest;96.4;26.8
TRA_12;2016-09;Transilien;R;Paris Sud Est;87.4;6.9
TRA_4;2016-10;RER;D;RER D;84.9;5.6
TRA_6;2016-10;Transilien;H;Paris Nord Ouest;95.6;21.7
TRA_7;2016-11;Transilien;J;Paris Saint-Lazare Nord;86.4;6.4
TRA_10;2016-11;Transilien;N;Paris Montparnasse;86.2;6.2
TRA_1;2016-12;RER;A;RER A;66.7;2.0
TRA_4;2016-12;RER;D;RER D;80.8;4.2
TRA_11;2016-12;Transilien;P;Paris Est;90.7;9.8
TRA_12;2017-01;Transilien;R;Paris Sud Est;88.8;7.9
TRA_1;2017-02;RER;A;RER A;69.35;2.3
TRA_6;2017-02;Transilien;H;Paris Nord Ouest;93.1;13.5
TRA_9;2017-02;Transilien;L;Paris Saint-Lazare Sud;90.1;9.1
TRA_11;2017-02;Transilien;P;Paris Est;91.8;11.2
TRA_12;2017-02;Transilien;R;Paris Sud Est;89.6;8.6
TRA_9;2017-03;Transilien;L;Paris Saint-Lazare Sud;90.1;9.1
TRA_4;2017-04;RER;D;RER D;86.3;6.3
TRA_7;2017-04;Transilien;J;Paris Saint-Lazare Nord;92.4;12.2
TRA_13;2017-04;Transilien;U;La Verrière - La Défense;94.8;18.2
TRA_2;2017-05;RER;B;RER B;82.2584218256;4.6
TRA_5;2017-05;RER;E;RER E;91.6928731812;11.0
TRA_9;2017-05;Transilien;L;Paris Saint-Lazare Sud;88.9161946777;8.0
TRA_10;2017-05;Transilien;N;Paris Montparnasse;89.2151337397;8.3
TRA_1;2017-06;RER;A;RER A;69.9477885533;2.3
TRA_10;2017-06;Transilien;N;Paris Montparnasse;90.0309743901;9.0
TRA_3;2017-07;RER;C;RER C;89.4050234301;8.4
TRA_2;2017-08;RER;B;RER B;93.2;13.7
TRA_3;2017-08;RER;C;RER C;93.8;15.1
TRA_9;2017-08;Transilien;L;Paris Saint-Lazare Sud;92.5;12.3
TRA_5;2017-09;RER;E;RER E;95.0;19.0
TRA_7;2017-09;Transilien;J;Paris Saint-Lazare Nord;89.9;8.9
TRA_6;2017-10;Transilien;H;Paris Nord Ouest;92.5;12.3
TRA_9;2017-10;Transilien;L;Paris Saint-Lazare Sud;86.4;6.4
TRA_10;2017-10;Transilien;N;Paris Montparnasse;90.4;9.4
TRA_6;2017-11;Transilien;H;Paris Nord Ouest;88.7;7.8
TRA_2;2017-12;RER;B;RER B;84.3;5.4
TRA_13;2017-12;Transilien;U;La Verrière - La Défense;91.4;10.6
TRA_1;2018-01;RER;A;RER A;79.6;3.9
TRA_8;2018-01;Transilien;K;Paris Nord Crépy;91.6;10.9
TRA_12;2018-01;Transilien;R;Paris Sud Est;81.7;4.5
TRA_13;2018-01;Transilien;U;La Verrière - La Défense;91.4;10.6
TRA_6;2018-02;Transilien;H;Paris Nord Ouest;90.3;9.3
TRA_8;2018-02;Transilien;K;Paris Nord Crépy;88.7;7.8
TRA_9;2018-02;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
TRA_4;2018-03;RER;D;RER D;82.2;4.6
TRA_7;2018-03;Transilien;J;Paris Saint-Lazare Nord;88.2;7.5
TRA_9;2018-03;Transilien;L;Paris Saint-Lazare Sud;89.8;8.8
TRA_10;2018-03;Transilien;N;Paris Montparnasse;89.5;8.5
TRA_4;2018-04;RER;D;RER D;90.5;9.5
TRA_4;2018-05;RER;D;RER D;85.4;5.8
TRA_10;2018-05;Transilien;N;Paris Montparnasse;92.1;11.7
TRA_12;2018-05;Transilien;R;Paris Sud Est;85.9;6.1
TRA_4;2018-06;RER;D;RER D;84.4;5.4
TRA_7;2018-06;Transilien;J;Paris Saint-Lazare Nord;94.0;15.7
TRA_8;2018-06;Transilien;K;Paris Nord Crépy;94.4;16.9
TRA_3;2018-07;RER;C;RER C;88.9;8.0
TRA_1;2018-08;RER;A;RER A;91.8;11.2
TRA_3;2018-08;RER;C;RER C;92.4;12.2
TRA_8;2018-08;Transilien;K;Paris Nord Crépy;89.0;8.1
TRA_12;2018-08;Transilien;R;Paris Sud Est;84.1;5.3
TRA_13;2018-08;Transilien;U;La Verrière - La Défense;90.8;9.9
TRA_4;2018-11;RER;D;RER D;77.4;3.4
TRA_6;2018-11;Transilien;H;Paris Nord Ouest;86.8;6.6
TRA_9;2018-11;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
TRA_2;2018-12;RER;B;RER B;85.6;5.9
TRA_6;2018-12;Transilien;H;Paris Nord Ouest;93.2;13.7
TRA_11;2018-12;Transilien;P;Paris Est;87.8;7.2
TRA_13;2018-12;Transilien;U;La Verrière - La Défense;91.6;10.9
TRA_10;2019-01;Transilien;N;Paris Montparnasse;87.1;6.8
TRA_12;2019-01;Transilien;R;Paris Sud Est;80.2;4.1
TRA_1;2019-02;RER;A;RER A;86.9;6.6
TRA_2;2019-02;RER;B;RER B;84.5;5.5
TRA_5;2019-02;RER;E;RER E;93.0532002163;13.4
TRA_8;2019-02;Transilien;K;Paris Nord Crépy;94.8673157971;18.5
TRA_12;2019-02;Transilien;R;Paris Sud Est;84.2654956927;5.4
TRA_6;2019-03;Transilien;H;Paris Nord Ouest;96.3173470384;26.2
TRA_10;2019-03;Transilien;N;Paris Montparnasse;93.0550733938;13.4
TRA_6;2019-04;Transilien;H;Paris Nord Ouest;96.270247076;25.8
TRA_7;2019-04;Transilien;J;Paris Saint-Lazare Nord;91.8373353331;11.3
TRA_9;2019-04;Transilien;L;Paris Saint-Lazare Sud;93.564744988;14.5
TRA_13;2019-04;Transilien;U;La Verrière - La Défense;97.0675795068;33.1
TRA_1;2019-05;RER;A;RER A;88.5364970206;7.7
TRA_3;2019-05;RER;C;RER C;90.9553992013;10.1
TRA_4;2019-05;RER;D;RER D;87.4324780659;7.0
TRA_1;2019-06;RER;A;RER A;86.6910070306;6.5
TRA_9;2019-06;Transilien;L;Paris Saint-Lazare Sud;92.1166288919;11.7
TRA_13;2019-06;Transilien;U;La Verrière - La Défense;94.1292748554;16.0
TRA_1;2019-07;RER;A;RER A;84.4615984756;5.4
TRA_2;2019-07;RER;B;RER B;84.9117605297;5.6
TRA_3;2019-07;RER;C;RER C;87.2193902005;6.8
TRA_11;2019-07;Transilien;P;Paris Est;82.7309555843;4.8
TRA_2;2019-08;RER;B;RER B;91.2516677331;10.4
TRA_5;2019-08;RER;E;RER E;85.0014380164;5.7
TRA_7;2019-09;Transilien;J;Paris Saint-Lazare Nord;91.4351502892;10.7
TRA_9;2019-09;Transilien;L;Paris Saint-Lazare Sud;93.8342745371;15.2
TRA_10;2019-09;Transilien;N;Paris Montparnasse;93.2004083826;13.7
TRA_8;2019-10;Transilien;K;Paris Nord Crépy;86.6285198392;6.5
TRA_9;2019-10;Transilien;L;Paris Saint-Lazare Sud;89.8365123151;8.8
TRA_11;2019-10;Transilien;P;Paris Est;88.8934830155;8.0
TRA_13;2019-10;Transilien;U;La Verrière - La Défense;91.7951105282;11.2
TRA_7;2019-11;Transilien;J;Paris Saint-Lazare Nord;88.0219274488;7.3
TRA_5;2020-02;RER;E;RER E;88.0502286132;7.4
TRA_6;2020-02;Transilien;H;Paris Nord Ouest;90.5574897208;9.6
TRA_8;2020-06;Transilien;K;Paris Nord Crépy;92.5451778248;12.4
TRA_6;2020-07;Transilien;H;Paris Nord Ouest;94.1986855312;16.2
TRA_11;2020-07;Transilien;P;Paris Est;90.4535791678;9.5
TRA_9;2020-08;Transilien;L;Paris Saint-Lazare Sud;95.972486532;23.8
TRA_13;2020-08;Transilien;U;La Verrière - La Défense;96.7634687847;29.9
TRA_6;2020-09;Transilien;H;Paris Nord Ouest;94.267848468;16.4
TRA_10;2020-09;Transilien;N;Paris Montparnasse;93.6456698683;14.7
TRA_11;2020-09;Transilien;P;Paris Est;92.9986317691;13.3
TRA_13;2020-09;Transilien;U;La Verrière - La Défense;96.6591169751;28.9
TRA_5;2013-01;RER;E;RER E;93.3;13.9
TRA_9;2013-01;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
TRA_11;2013-01;Transilien;P;Paris Est;85.8;6.0
TRA_1;2013-02;RER;A;RER A;86.2;6.2
TRA_3;2013-03;RER;C;RER C;87.6;7.1
